,content,NER,label
1525,Sony Xperia XZ2 có vẻ hơi lạ so với verykool s4510 Luna .,"[1, 2, 2, 0, 0, 7, 8, 0, 0, 3, 4, 4, 0]",1
1034,"Galaxy S21 Ultra năm ngoái có thể điều chỉnh tần số quét nằm trong khoảng từ 10Hz đến 120Hz , nhưng Galaxy S22 Ultra còn điều chỉnh hơn nữa .","[3, 4, 4, 0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 7, 8, 8, 8, 0]",8
3353,"Ngoài ra , còn một yếu tố nữa chính là việc chiếc Haier M260 là khả năng đồ họa nhỏ nhất , đồng nghĩa với việc diện tích tản nhiệt cũng thấp hơn ; ít nhiều ảnh hưởng đến hiệu năng thuần của con chip .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 5, 6, 6, 6, 7, 8, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
1216,"Không sở hữu sự tương đồng về mặt bộ xử lý như bộ đôi Pantech G800 và iPhone 12 , Apple đã lợi dụng không gian lớn bên trong Oppo A59 để trang bị cho mẫu smartphone này hệ thống camera chất lượng hơn .","[7, 8, 8, 8, 8, 8, 0, 0, 5, 6, 6, 0, 0, 0, 3, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 2, 2, 5, 6, 6, 7, 8, 8, 0]",1
2646,vivo Y53i đang là một trong những smartphone đắt nhất của Samsung .,"[1, 2, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0]",4
2657,"Như bạn có thể thấy trong bài so sánh , iPhone 12 Pro và Galaxy Note 20 Ultra đồng hạng nhất , trong khi Huawei nova 7 5G đứng vị trí cuối cùng về khoản khả năng tiết kiệm năng lượng .","[0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 1, 2, 2, 0, 3, 4, 4, 4, 7, 8, 8, 0, 0, 0, 1, 2, 2, 2, 7, 8, 8, 8, 8, 0, 0, 5, 6, 6, 6, 6, 6, 0]",4
555,Điều này vẫn để mình cảm thấy tiếc nuối vì Samsung thường vẫn nhỉnh hơn các thương hiệu khác ở chất lượng màn hình nhưng giờ đây nó vẫn thua kém ở tốc độ làm mới .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 8, 3, 4, 4, 4, 0, 5, 6, 6, 6, 0, 0, 0, 1, 0, 7, 8, 0, 5, 6, 6, 6, 0]",7
4671,Về cơ bản thì Gionee X1s sẽ to hơn Samsung Galaxy Tab 3 Lite 7.0 VE .,"[0, 0, 0, 0, 1, 2, 0, 7, 8, 3, 4, 4, 4, 4, 4, 4, 0]",8
1993,"Về sức mạnh phần cứng , Sendo S200 được Samsung ưu ái trang bị không gian lưu trữ mạnh mẽ và tốt nhất hiện tại của Qualcomm là Snapdragon 865 + .","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0]",3
3585,2 thế hệ này cũng có phần màn hình ngoài lớn nhất trong Galaxy S20 Series vừa ra mắt .,"[1, 2, 2, 2, 0, 0, 5, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 0]",5
2346,Với những thông số này Spice Mi-270 hứa hẹn đem tới tính năng ổn định hình ảnh quang học khủng nhất nhì trên thị trường hiện nay .,"[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 5, 6, 6, 6, 6, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 0]",3
1268,Riêng về dải tốc độ làm mới động thì thực sự hiếm có Samsung B7300 OmniaLITE có thể làm được .,"[0, 0, 5, 6, 6, 6, 6, 6, 0, 0, 0, 7, 8, 3, 4, 4, 8, 8, 8, 8, 0]",1
4782,Lenovo LePad S2005 sở hữu giá thành nhỏ gọn hơn,"[1, 2, 2, 0, 0, 5, 6, 7, 8, 8]",8
574,Đầu tiên trong danh sách chúng ta sẽ có chiếc Vivo V19 ở cùng một mức giá .,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 7, 8, 5, 6, 0]",2
1991,Ngược lại nói về trường ảnh thì bạn không cần so sánh nhiều vì 7.000 mAh là không ai vượt nổi rồi .,"[0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0, 0]",3
3987,Xiaomi Mi 10T Lite 5G trang bị camera sau Li-Po 4.000 mAh . Nó không quá lớn để so sánh với 5.000 mAh của O2 XDA Nova .,"[1, 2, 2, 2, 2, 0, 0, 5, 6, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 8, 8, 0, 0, 0, 3, 4, 4, 0]",7
1942,một chiếc tai thỏ của Huawei U8350 Boulder gần giống với Celkon C348+ nhưng có camera chính 50 MP .,"[5, 6, 6, 6, 0, 1, 2, 2, 7, 8, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0]",2
1697,"Khi nói đến camera góc siêu rộng , Celkon C102 đều đi kèm với Android .","[0, 0, 0, 5, 6, 6, 6, 0, 1, 2, 7, 8, 8, 8, 8, 0]",2
3780,Phần cứng camera tương đương nhưng macro cùng Samsung i710 có tỷ lệ màn hình trên thân máy thấp hơn .,"[5, 6, 6, 7, 8, 0, 1, 0, 1, 2, 0, 5, 6, 6, 6, 6, 6, 6, 7, 8, 0]",7
1448,Điểm khác biệt lớn nhất mà chúng ta nhận thấy sẽ là ở tỷ lệ .,"[7, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]",1
1896,Motorola W209 đều được trang bị các điểm chuẩn vì đạt hơn 2000 nits .,"[1, 2, 7, 8, 8, 8, 5, 6, 6, 0, 0, 0, 0, 0, 0]",2
4156,giờ on-screen chính xác nhưng không nhanh như Samsung E1150 mà thôi .,"[5, 6, 0, 0, 0, 7, 8, 8, 3, 4, 0, 0, 0]",7
4558,Điều này có nghĩa là BQ Aquaris U2 có được khả năng chơi game nông hơn trong một số bức ảnh .,"[0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 5, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 0]",8
3329,"Ngoài ra , còn một yếu tố nữa chính là việc chiếc Plum Check LTE là bảo mật nâng cao khoá vân tay dưới màn hình nhỏ nhất , đồng nghĩa với việc diện tích tản nhiệt cũng thấp hơn ; ít nhiều ảnh hưởng đến hiệu năng thuần của con chip .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 8, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
3426,"Asus Zenpad 8.0 Z380KL không còn là phần cứng bên trong mạnh mẽ nhất trong thế giới smartphone nữa , tuy nhiên vẫn vô cùng khoẻ để thực hiện tất cả các tác vụ mượt mà .","[1, 2, 2, 2, 7, 8, 8, 5, 6, 6, 6, 8, 8, 8, 8, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5
4741,Realme C2 2020 có cân nặng nhỉnh hơn đôi chút cho với các mẫu iPhone 6 / 7 / 8 Plus và hơn hẳn so với Yezz CC40 ra mắt vào năm ngoái .,"[1, 2, 2, 0, 5, 6, 7, 8, 8, 8, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 0, 7, 8, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0]",8
2325,"Huawei Y6II Compact là mẫu điện thoại từng được xếp vào hàng cao cấp nhất năm 2018 , thế nên không quá khó hiểu vì sao mẫu máy này lại sở hữu nhiều đặc tính cho đến nay vẫn được xem là cao cấp trong thiết kế như mặt lưng kính , khung viền nhôm , cảm biến vân tay , chuẩn kháng nước IP68 và biểu tượng đặc trưng của dòng Note nhà Samsung : Bút S-Pen .","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
2048,"Còn về phía NIU GO 20 , thiết bị này không chỉ có chip tốt nhất , mà còn sở hữu một camera goc siêu rộng cũng gần như là “ bá đạo ” nhất trong cả ba .","[0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 5, 7, 8, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 0, 7, 8, 8, 8, 8, 8, 8, 8, 0, 3, 4, 0]",3
1687,"Cụ thể , Gigabyte Snoopy được sử dụng chất liệu kính giống như Nokia 215 Dual SIM ở hiệu năng .","[0, 0, 0, 1, 2, 0, 0, 0, 7, 8, 8, 8, 0, 3, 4, 4, 4, 0, 5, 6, 0]",2
4353,Samsung A711 sở hữu khả năng kết nối mạng di động hỗ trợ 5g nhỏ gọn hơn,"[1, 2, 0, 0, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 8, 8]",8
1533,Dường như điểm khác biệt lớn nhất về Samsung Galaxy J chính là xung .,"[0, 0, 7, 8, 8, 8, 8, 0, 1, 2, 2, 0, 0, 5, 0]",1
2645,"Như bạn có thể thấy trong bài so sánh , iPhone 12 Pro và Galaxy Note 20 Ultra đồng hạng nhất , trong khi Celkon A90 đứng vị trí cuối cùng về khoản mức tăng hiệu năng .","[0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 1, 2, 2, 0, 3, 4, 4, 4, 7, 8, 8, 0, 0, 0, 1, 2, 7, 8, 8, 8, 8, 0, 0, 5, 6, 6, 6, 0]",4
796,Phiên bản này có kích thước nhỉnh hơn đôi chút cho với các mẫu iPhone 6 / 7 / 8 Plus và hơn hẳn so với 11 Pro Max ra mắt vào năm ngoái .,"[1, 2, 2, 0, 5, 6, 7, 8, 8, 8, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 0, 7, 8, 0, 0, 3, 4, 4, 0, 0, 0, 0, 0, 0]",8
447,des : Camera của A32 nhỉnh hơn về chất lượng,"[0, 0, 5, 2, 1, 7, 8, 8, 8, 8]",6
2772,"Như bạn có thể thấy trong bài so sánh , iPhone 12 Pro và Galaxy Note 20 Ultra đồng hạng nhất , trong khi HTC Desire Q đứng vị trí cuối cùng về khoản cải tiến .","[0, 0, 0, 0, 0, 0, 5, 6, 6, 0, 1, 2, 2, 0, 3, 4, 4, 4, 7, 8, 8, 0, 0, 0, 1, 2, 2, 7, 8, 8, 8, 8, 0, 0, 5, 6, 0]",4
2960,BLU Energy X Plus 2 đang là một trong những smartphone đắt nhất của Samsung .,"[1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 7, 8, 8, 8, 0]",4
165,"Ngoài ra , Galaxy S23 Ultra thực sự có thời lượng pin tốt hơn so với S23 + nhờ công nghệ màn hình LTPO tiết kiệm hơn và dải tốc độ làm mới động rộng hơn .","[0, 0, 0, 1, 2, 2, 0, 0, 0, 5, 6, 6, 7, 8, 0, 0, 3, 4, 0, 5, 6, 6, 6, 6, 7, 8, 8, 0, 5, 6, 6, 6, 6, 6, 7, 8, 0]",6
276,Cấu hình Galaxy S23 Ultra và Xiaomi 13 Pro đều được cung cấp sức mạnh từ chip xử lý Snapdragon 8 Gen 2 của Qualcomm .,"[1, 2, 2, 2, 2, 0, 3, 4, 4, 7, 8, 8, 8, 0, 0, 0, 5, 6, 6, 6, 6, 6, 6, 6, 6, 0]",2
1424,tối ưu hóa ở hai dòng LG G3 A và T-Mobile HD2 có sự khác biệt .,"[5, 6, 6, 0, 0, 0, 1, 2, 2, 0, 3, 4, 7, 8, 8, 8, 0]",1
248,Điện thoại Samsung chụp được các chi tiết cây cối tốt hơn,"[1, 2, 2, 5, 6, 6, 6, 6, 6, 6, 7, 8]",6
